clip_index,trick_index,trick,flannel,switch,shorts w high socks,obstacle,obstacle_detailer,slowmo,line,bank,video,year
12,18,fs 180 to sw 5-0 to fakie,1,0,1,ledge,outledge,0,0,1,Propeller Raw Files,2015
13,19,boardslide to fakie,0,0,1,handrail,,0,0,0,Propeller Raw Files,2015
14,20,bs bigflip,0,0,1,gap,bump to flat,0,0,1,Propeller Raw Files,2015
15,21,nollie kickflip ,1,1,0,into bank,,0,0,1,Propeller Raw Files,2015
16,22,fs shuv,0,0,0,transition,channel,0,1,1,Propeller Raw Files,2015
16,23,bs bigspin,0,0,0,flat,,0,1,0,Propeller Raw Files,2015
16,24,halfcab flip,0,0,0,flat,,0,1,0,Propeller Raw Files,2015
16,25,kickflip,0,0,0,transition,channel,0,1,1,Propeller Raw Files,2015
17,26,nollie bs heelflip,0,1,1,stairs,3 flat 3,0,0,0,Propeller Raw Files,2015
18,27,bs tailslide,0,0,0,ledge,,0,1,0,Propeller Raw Files,2015
18,28,bs noseslide to bs 5050,0,0,0,ledge,,0,1,0,Propeller Raw Files,2015
19,29,slappy noseslide to pop over,0,0,0,ledge,into bank,0,0,1,Propeller Raw Files,2015
20,30,sw bs crook to regular,0,1,0,transition,,0,0,1,Propeller Raw Files,2015
21,31,sw heelflip,0,1,1,flat,,0,1,0,Propeller Raw Files,2015
21,32,sw fs 5-0,0,1,1,hubba,7,0,1,0,Propeller Raw Files,2015
22,33,sw bs tailslide,0,1,0,handrail,5,0,0,0,Propeller Raw Files,2015
23,34,bs 180 to sw bs nosegrind to regular,0,0,1,ledge,,0,1,0,Propeller Raw Files,2015
23,35,sw bs crook,0,1,1,ledge,,0,1,0,Propeller Raw Files,2015
23,36,sw tre ,0,1,1,flat,,0,1,0,Propeller Raw Files,2015
24,37,fs tailslide to kickflip,0,0,1,ledge,,0,0,0,Propeller Raw Files,2015
25,38,kickflip,0,0,1,gap,into bank,0,0,1,Propeller Raw Files,2015
26,39,fs shuv,0,0,0,gap,bump to gap,0,0,1,Propeller Raw Files,2015
27,40,nollie heelflip,1,1,0,gap,into bank,0,0,1,Propeller Raw Files,2015
28,41,wallie,0,0,1,wall,gap,0,0,0,Propeller Raw Files,2015
29,42,sw fs nosegrind to regular,0,1,1,ledge,8,0,0,0,Propeller Raw Files,2015
30,43,sw fs nosegrind,0,1,1,hubba,9,0,0,0,Propeller Raw Files,2015
31,44,sw fs boardslide,0,1,1,hubba,10,0,0,0,Propeller Raw Files,2015
32,45,sw fs 5050,0,1,0,hubba,10,0,0,0,Propeller Raw Files,2015
33,46,sw fs noseslide ,0,1,0,hubba,10,0,0,0,Propeller Raw Files,2015
34,46,sw fs noseslide,0,1,0,hubba,10,0,0,0,Propeller Raw Files,2015
1,1,hippie jump,1,0,0,barrier,into bank,0,1,1,Spitfire Wheels,2010
1,2,ollie,1,0,0,flat,into bank,0,1,1,Spitfire Wheels,2010
1,3,ollie,1,0,0,flat,,0,1,0,Spitfire Wheels,2010
1,4,bs bigspin,1,0,0,flat,,0,1,0,Spitfire Wheels,2010
2,5,bs boardslide,0,0,0,hubba,,0,0,0,Spitfire Wheels,2010
3,6,noseblunt stall,1,0,0,transition,ditch,1,0,1,Spitfire Wheels,2010
4,6,noseblunt stall,1,0,0,transition,ditch,0,0,1,Spitfire Wheels,2010
5,7,fs 180,0,0,0,gap,,0,0,0,Spitfire Wheels,2010
6,8,fs 5-0 stall,0,0,0,transition,,0,1,1,Spitfire Wheels,2010
6,9,bs 5050,0,0,0,transition,,0,1,1,Spitfire Wheels,2010
6,10,bs 5-0 stall,0,0,0,transition,,0,1,1,Spitfire Wheels,2010
6,11,blunt to kickflip to fakie,0,0,0,transition,,0,1,1,Spitfire Wheels,2010
7,12,bs tailslide,1,0,0,transition,pool,0,0,1,Spitfire Wheels,2010
8,13,fs shuv,0,0,0,gap,into bank,0,0,1,Spitfire Wheels,2010
9,14,nollie tre,0,1,0,flat,on bank,0,1,1,Spitfire Wheels,2010
9,15,sw tre,0,1,0,flat,into bank,0,1,1,Spitfire Wheels,2010
10,16,bs tailslide to shuv,0,0,1,ledge,,0,1,0,Spitfire Wheels,2010
10,17,fs shuv to bs nosegrind,0,0,1,ledge,,0,1,0,Spitfire Wheels,2010
11,18,kickflip,1,0,0,gap,into bank,0,1,1,Spitfire Wheels,2010
11,19,bs tailslide,1,0,0,transition,,0,1,1,Spitfire Wheels,2010
12,20,fs noseblunt slide,0,0,0,transition,,0,1,1,Spitfire Wheels,2010
12,21,bs kickflip,0,0,0,gap,into bank,0,1,1,Spitfire Wheels,2010
1,1,nollie bs 5-0,0,0,0,ledge,,0,1,0,411vm Hot Wheels,2004
1,2,bs 360,0,0,0,gap,,0,1,0,411vm Hot Wheels,2004
2,3,varial heelflip,0,0,0,gap,,0,0,0,411vm Hot Wheels,2004
3,4,sw bs heelflip,0,1,0,gap,3 block,1,0,0,411vm Hot Wheels,2004
4,5,sw heelflip,0,1,0,gap,,0,0,0,411vm Hot Wheels,2004
5,6,bs suski,0,0,0,hubba,9,0,0,0,411vm Hot Wheels,2004
6,7,bs kickflip,0,0,0,gap,bump to gap,0,0,1,411vm Hot Wheels,2004
7,8,sw bs 180 nosegrind,0,1,0,ledge,,0,0,0,411vm Hot Wheels,2004
8,9,sw fs bluntslide,0,1,0,ledge,,0,0,0,411vm Hot Wheels,2004
9,10,fs slash to fakie,0,0,0,transition,pool,0,0,1,411vm Hot Wheels,2004
10,11,fs pivot to fakie,0,0,0,transition,pool,0,0,0,411vm Hot Wheels,2004
11,12,nollie fs kickflip,0,0,0,into bank,,0,0,1,411vm Hot Wheels,2004
12,13,shuv to fs boardslide,0,0,0,handrail,9,0,0,0,411vm Hot Wheels,2004
13,14,bs bigspin to fs boardslide,0,0,0,handrail,9,1,0,0,411vm Hot Wheels,2004
14,15,sw bs bigspin to sw fs boardslide,0,0,0,handrail,6,0,0,0,411vm Hot Wheels,2004
15,16,sw kickflip to sw fs boardslide,0,0,0,handrail,8,0,0,0,411vm Hot Wheels,2004
