video,perc_stair,perc_ledge,perc_manual,perc_transition,perc_handrail,perc_flat,perc_distinct,perc_slowmo,perc_switch,perc_fs,perc_bs
Cash_Money_Vagrant,12.0,19.0,0.0,0.0,17.0,12.0,71.0,0.0,12.0,36.0,31.0
Straight_to_Floppy_Disk,22.0,22.0,4.0,2.0,8.0,24.0,78.0,0.0,12.0,33.0,29.0
Wheels_of_Fortune,20.0,12.0,0.0,0.0,28.0,0.0,68.0,0.0,12.0,52.0,24.0
Six_Newell,32.0,18.0,0.0,2.0,15.0,20.0,75.0,0.0,5.0,32.0,32.0
Moigle_Splatter,12.0,50.0,0.0,38.0,0.0,0.0,75.0,0.0,12.0,50.0,50.0
Arbitrary_Function,19.0,25.0,0.0,6.0,12.0,12.0,75.0,0.0,12.0,38.0,25.0
Maiden_Days,6.0,31.0,0.0,0.0,31.0,6.0,81.0,0.0,0.0,56.0,31.0
Chinese_Takeout,44.0,0.0,0.0,11.0,0.0,0.0,88.0,0.0,0.0,12.0,25.0
Frank_Gerwer,16.0,36.0,0.0,0.0,0.0,24.0,76.0,0.0,4.0,40.0,40.0
