video,perc_stair,perc_ledge,perc_manual,perc_transition,perc_handrail,perc_flat,perc_distinct,perc_slowmo,perc_switch,perc_fs,perc_bs
Programming_Injection,26.0,5.0,0.0,0.0,36.0,12.0,80.0,20.0,66.0,34.0,46.0
Push_Part,10.0,7.0,0.0,0.0,39.0,2.0,89.0,29.0,32.0,45.0,45.0
Daylando,19.0,10.0,3.0,0.0,27.0,14.0,85.0,40.0,56.0,42.0,50.0
Cosmic_Vomit_2,31.0,5.0,0.0,0.0,28.0,8.0,91.0,17.0,57.0,40.0,43.0
Trust_Fall,35.0,16.0,0.0,0.0,26.0,3.0,97.0,10.0,60.0,37.0,37.0
True_Blue,25.0,11.0,0.0,0.0,48.0,2.0,86.0,14.0,73.0,37.0,65.0
Nike_SB_Chronicles,39.0,0.0,0.0,0.0,17.0,6.0,89.0,39.0,44.0,33.0,56.0
