clip-index,trick-index,trick,switch / nollie,line,slowmo,obstacle,obstacle-detailed,location,video,year,notes,crust,,

13,17,switch bs nosegrind to bs 180 ,1,,,ledge,,Love Park,Eastern Exposure 2,1994,,,,

14,1,nollie bs noseslide,1, ,,ledge,hubba,City Hall,Eastern Exposure 2,1994,same as first clip,,,

15,18,switch bs 5-0,1, ,,ledge,out ledge,Love Park,Eastern Exposure 2,1994,,,,

1,1,switch bs 5-0,1,,,ledge,,Love Park,411 #8,1994,,,,

2,2,switch fs 180,1,,,transition,over wall,Brooklyn Banks,411 #8,1994,,,,

3,3,heelflip,,1,,flat,,Love Park,411 #8,1994,,,,

3,4,nollie fs noseslide,1,1,,ledge,,Love Park,411 #8,1994,,,,

4,5,bs 5-0 to bs 180,,,,ledge,,,411 #8,1994,,,,

5,6,switch fs 180 to fs 5-0,1,1,,ledge,,,411 #8,1994,,,,

5,7,nollie fs kickflip,1,1,,flat,,,411 #8,1994,,,,

5,8,switch bs crooked,1,1,,ledge,,,411 #8,1994,,,,

6,9,switch ollie,1,,,gap,over planter,Pulaski,411 #8,1994,,,,

7,10,nollie bs noseslide,1,1,,ledge,hubba,City Hall,411 #8,1994,same trick as in EE2 (but in line),,,

7,11,fs 180 to switch fs nosegrind,,1,,ledge,,City Hall,411 #8,1994,,,,

7,12,switch 360 flip,1,1,,flat,,City Hall,411 #8,1994,,,,

8,13,fs 50-50,,,,rail,handrail,,411 #8,1994,,,,

9,14,switch bs shove,1,1,,flat,,Love Park,411 #8,1994,,,,

9,15,fakie ollie to switch crooked,,1,,ledge,,Love Park,411 #8,1994,,,,

9,16,switch kickflip,1,1,,flat,,Love Park,411 #8,1994,,,,

9,17,switch fs tailslide,1,1,,ledge,,Love Park,411 #8,1994,,,,

1,1,switch bs crooked,1,,,rail,handrail,,Real Life,1994,opening credits,,,

2,2,switch ollie,1,,,gap,bank to bank,,Real Life,1994,opening credits,,,

3,3,switch fs bluntslide,1,,,ledge,,City Hall,Real Life,1994,opening credits,,,

4,4,switch kickflip bs tailslide,1,,,ledge,,Love Park,Real Life,1994,opening credits,,,

5,5,switch fs 180 fs 5-0,1,,,rail,handrail,,Real Life,1994,,,,

6,6,bs 50-50,,,,rail,handrail,,Real Life,1994,,,,

7,7,fs 5-0,,,,rail,handrail,,Real Life,1994,,,,

8,8,fs 50-50,,,,rail,handrail,,Real Life,1994,,,,

9,9,ollie,,1,,flat,over handrail,Muni,Real Life,1994,,,,

9,10,ollie,,1,,flat,onto bench,Muni,Real Life,1994,,,,

9,11,heelflip,,1,,gap,over trash can,Muni,Real Life,1994,,,,

9,12,nollie fs 180,1,1,,flat,,Muni,Real Life,1994,,,,

9,13,switch ollie,1,1,,flat,onto bench,Muni,Real Life,1994,,,,

9,14,switch ollie,1,1,,gap,over trash can,Muni,Real Life,1994,,,,

10,15,switch fs 5-0 to fs tailslide,1,,,ledge,,,Real Life,1994,,,,

11,16,switch bs shove fs nosegrind,1,,,ledge,,Love Park,Real Life,1994,,,,

12,17,switch bs 5-0 to bs shove,1,,,ledge,,Love Park,Real Life,1994, ,,,

13,18,360 flip,,1,,flat,,Love Park,Real Life,1994,,,,

13,19,nollie bs crooked,1,1,,ledge,,Love Park,Real Life,1994,,,,

13,20,nollie bs 180,1,1,,flat,,Love Park,Real Life,1994,,,,

13,21,switch fs 5-0 to fs 180,1,1,,ledge,,Love Park,Real Life,1994,,,,

13,22,heelflip,,1,,flat,,Love Park,Real Life,1994,,,,

14,23,bs nose axel stall,,,,transition,,Afro Banks,Real Life,1994,,,,

15,24,fs pivot to fakie,,,,transition,,Afro Banks,Real Life,1994,,,,

16,25,bs noseblunt,,,,transition,,Afro Banks,Real Life,1994,,,,

17,26,360 flip,,1,,stairs,up stairs,City Hall,Real Life,1994,,,,

17,27,fs kickflip,,1,,stairs,,City Hall,Real Life,1994,,,,

18,28,switch kickflip  ,1,1,,stairs,,City Hall,Real Life,1994,,,,

18,3,switch fs bluntslide,1,1,,ledge,,City Hall,Real Life,1994,same trick as opening credits,,,

19,29,fs 50-50,,,,ledge,hubba,,Real Life,1994,,,,

20,30,360 flip, ,,,gap,flat gap,,Real Life,1994,,,,

21,31,bs shove,,,,gap,flat gap,,Real Life,1994,,,,

22,32,heelflip,,,,gap,over planter,Pulaski,Real Life,1994,,,,

23,33,switch fs lipslide,1,,,rail,handrail,,Real Life,1994,closing credits,,,

24,34,bs tailslide,,,,transition,,Afro Banks,Real Life,1994,closing credits  ,,,

25,35,nollie fs 180 to switch bs 5-0,1,,,ledge,,,Real Life,1994,closing credits,,,

26,36,bs noseslide,,,,ledge, , ,Real Life,1994,closing credits,,,

1,1,nollie fs 5-0,1,1,,ledge, ,Union Square,Thrasher Feats,1994,,,,

1,2,nollie fs 180,1,1,,flat,,Union Square,Thrasher Feats,1994,,,,

