video,perc_stair,perc_ledge,perc_manual,perc_transition,perc_handrail,perc_flat,perc_distinct,perc_slowmo,perc_switch,perc_fs,perc_bs
Element:_Future_Nature,20.0,5.0,0.0,0.0,44.0,2.0,90.0,47.0,2.0,59.0,29.0
Life_&_Times,11.0,2.0,0.0,0.0,55.0,11.0,94.0,36.0,0.0,39.0,31.0
Blood_Money,7.0,2.0,0.0,0.0,52.0,12.0,90.0,33.0,0.0,49.0,35.0
Saved,8.0,0.0,0.0,0.0,23.0,8.0,85.0,0.0,0.0,31.0,38.0
Grounded,12.0,6.0,0.0,0.0,62.0,6.0,94.0,50.0,0.0,50.0,35.0
