"","trick","count"
"209","sw fs crook to fakie",1
"210","sw fs noseblunt",1
"211","sw fs noseblunt to regular",1
"212","sw fs nosegrind to tail grab",1
"213","sw fs noseslide",1
"214","sw fs noseslide ",1
"215","sw fs noseslide to fakie kickflip",1
"216","sw fs noseslide to nollie bs 180",1
"217","sw fs noseslide to shuv to regular",1
"218","sw fs shuv",1
"219","sw fs tailslide to sw bs crook",1
"220","sw hill bomb",1
"221","sw kickflip",1
"222","sw kickflip to bs salad to fakie",1
"223","sw kickflip to sw fs boardslide",1
"224","sw ollie ",1
"225","sw pole jam",1
"226","sw shuv",1
"227","sw slappy bs crook",1
"228","sw slappy fs noseslide to regular",1
"229","sw varial heel",1
"230","sw varial kickflip ",1
"231","sw wallie",1
"232","sw wallie ",1
"233","sw wallie to bs crook",1
"234","sw wallie to bs crook to regs",1
"235","sw wallie to sw bs crook",1
"236","tail block",1
"237","tail drop",1
"238","tail drop to kickflip",1
"239","wallie to 180 to sw manual",1
"240","wallie to 5-0",1
"241","wallie to boardslide",1
"242","wallie to bs boardslide",1
"243","wallie transfer",1
"244","wallride ",1
"245","wallride to bs bluntslide",1
"246","wallride to shuv to sw 5-0",1
