"trick","obstacle","cnt"
"fs shuv","stairs",2
"fs shuv to bs crook","rail",2
"fs tailslide","rail",2
"halfcab","flat",2
"halfcab to bs crook","ledge",2
"kickflip to bs 5050","rail",2
"kickflip to bs lipslide","ledge",2
"kickflip to bs tailslide","ledge",2
"kickflip to fs 5050","ledge",2
"kickflip to fs noseslide","ledge",2
"late shuv","gap",2
"nollie bs 180 to sw fs crook","ledge",2
"nollie bs heelflip","stairs",2
"nollie bs kickflip","gap",2
"nollie fs 180 to sw bs crook","ledge",2
"nollie fs 180 to sw bs crook","rail",2
"nollie fs heelflip","stairs",2
"nollie fs kickflip","gap",2
"nollie fs kickflip","stairs",2
"nollie inward heel","gap",2
"nollie to bs 5-0","rail",2
"nollie to bs crook","ledge",2
"nollie to fs nosegrind","rail",2
"shuv to fs 5050","rail",2
"slappy bs crook","ledge",2
"suicide 5050","rail",2
"sw big heel","flat",2
"sw bs crook to regular","ledge",2
"sw bs tailslide to regular","ledge",2
"sw fs bigspin to bs boardslide","rail",2
"sw fs heelflip","stairs",2
"sw heelflip to sw fs nosegrind","ledge",2
"sw kickflip","flat",2
"sw kickflip","stairs",2
"sw kickflip to sw fs boardslide","rail",2
"360 shuv","gap",1
"barley grind","rail",1
"blunt stall to halfcab heelflip","transition",1
"bs 180","stairs",1
"bs 180","transition",1
"bs 180 to sw bs 5-0","ledge",1
"bs 180 to sw bs nosegrind to regular","ledge",1
"bs 180 to sw fs 5-0","rail",1
"bs 180 to sw fs nosegrind","ledge",1
"bs 360","gap",1
"bs 360","stairs",1
"bs 5-0","ledge",1
"bs 5-0","rail",1
"bs 5-0 to fs 180","ledge",1
"bs bigflip","stairs",1
"bs bigspin","gap",1
"bs bigspin to bs tailslide","ledge",1
"bs bigspin to bs tailslide","transition",1
"bs blunt","ledge",1
"bs blunt to fakie","ledge",1
"bs blunt to fs kickflip","ledge",1
"bs boardlside","rail",1
"bs boardslide to bs boardslide","rail",1
"bs boardslide to bs feeble","rail",1
"bs crook stall","transition",1
"bs crook to fakie","ledge",1
"bs crook to nollie kickflip","rail",1
"bs crook to sw fs 5-0","ledge",1
"bs disaster","transition",1
"bs feeble to bs lipslide","rail",1
"bs feeble to fs 180","rail",1
"bs heelflip","flat",1
"bs heelflip","gap",1
"bs hurricane","ledge",1
"bs kickflip to sw bs 5-0","ledge",1
"bs kickflip to sw bs nosegrind","ledge",1
"bs kickfllip","stairs",1
"bs lipside","rail",1
"bs lipslide to fakie","rail",1
"bs lipslide to kickflip","ledge",1
"bs melon","transition",1
"bs nosegrind","rail",1
"bs noseslide","ledge",1
"bs ollie","transition",1
"bs smith","ledge",1
"bs smith to bs 180","ledge",1
"bs smith to fs 180","rail",1
"bs tail block to fakie","transition",1
"bs tail to sw fs crook","ledge",1
"bs tailslide to bs 270","ledge",1
"bs tailslide to bs heelflip","ledge",1
"bs tailslide to fakie","ledge",1
"bs tailslide to shuv","ledge",1
"bs tailslide to sw fs crook","ledge",1
"bs tailslide to sw fs crook to fakie kickflip","ledge",1
"fakie 5-0","ledge",1
"fakie 5-0 to sw bs 180","ledge",1
"fakie bigspin","flat",1
"fakie bs tailslide","ledge",1
"fakie bs tailslide to regular","ledge",1
"fakie fs 5-0 to regular","ledge",1
"fakie fs boardslide","rail",1
"fakie fs crook","ledge",1
"fakie fs noseslide to regular","ledge",1
"fakie fs noseslide to shuv","ledge",1
"fakie fullcab","gap",1
"fakie hardflip","stairs",1
"fakie heelflip to sw bs tailslide","ledge",1
"fakie inward heelflip","stairs",1
"fakie kickflip fs noseslide to shuv","ledge",1
"fakie kickflip to sw 5-0 to sw bs 180","ledge",1
"fakie manny to fakie kickflip","manny pad",1
"fakie ollie","flat",1
"fakie overcrook","rail",1
"fakie tre flip","stairs",1
"fakie tre flip to sw manny","manny pad",1
"foot plant","transition",1
"fs 180","stairs",1
"fs 180 to sw bs crook to regular","rail",1
"fs 180 to sw fs 5-0","ledge",1
"fs 180 to sw fs 5-0","rail",1
"fs 180 to sw fs wallride","wall",1
"fs 360","flat",1
"fs 5050 to bs 180","rail",1
"fs blunt to bs 360","ledge",1
"fs blunt to bs bigspin","ledge",1
"fs blunt to bs kickflip","ledge",1
"fs blunt to bs kickflip","rail",1
"fs blunt to fakie","ledge",1
"fs blunt to shuv","rail",1
"fs boneless","transition",1
"fs crook to fakie","ledge",1
"fs crook to nollie bs 180","ledge",1
"fs disaster","transition",1
"fs feeble to bs 180","rail",1
"fs feeble to fs shuv","rail",1
"fs feeble to fs smith","rail",1
"fs heelflip","flat",1
"fs heelflip","stairs",1
"fs indie","transition",1
"fs indie to fs disaster","transition",1
"fs kickflip","rail",1
"fs lipslide to fs shuv","rail",1
"fs noseblunt stall","transition",1
"fs noseblunt to fs lipslide","ledge",1
"fs nosegrab","transition",1
"fs nosegrab to footplant","transition",1
"fs nosegrab to tailstall","transition",1
"fs nosegrind","ledge",1
"fs noseslide","rail",1
"fs noseslide to nollie kickflip","ledge",1
"fs overcrook","rail",1
"fs shuv to bs 5050","rail",1
"fs shuv to bs boardslide","rail",1
