clip_index,trick_index,trick,obstacle,obstacle_detailer,push,jazzpush,slowmo,bank,switch,line,video,year
13,17,halfcab flip,flat,,0,0,0,0,0,1,Large,2018
13,18,kickflip to fs 5050 to nose manny,ledge,to manny pad,1,0,0,0,0,1,Large,2018
14,19,sw bs boardslide to 5-0 to fakie,ledge,hubba,0,0,0,0,1,0,Large,2018
15,20,boneless,gap,bump to bump,0,0,0,0,0,0,Large,2018
16,21,sw shuv,stairs,4,0,0,0,0,1,1,Large,2018
16,22,sw shuv,stairs,6,0,0,0,0,1,1,Large,2018
17,23,ride-on bs nosegrind,ledge,,0,0,0,0,0,0,Large,2018
18,24,kickflip to fs 5-0 to fs 180,ledge,outledge,0,0,0,0,0,1,Large,2018
19,25,sw bs crook,ledge,,1,0,0,0,1,1,Large,2018
20,26,kickflip to fs 5050 to manny,ledge,to manny pad,0,0,1,0,0,0,Large,2018
21,27,sw bs lipslide,handrail,10,0,0,0,0,1,0,Large,2018
22,27,sw bs lipslide,handrail,10,0,0,0,0,1,0,Large,2018
23,28,pinch ollie,flat,into bank,0,0,0,1,0,1,Large,2018
23,29,pinch ollie,flat,,0,0,0,1,0,1,Large,2018
