filmer,comp1,comp2
Aaron Meza,1.69502563379815,1.0102539622666034
Beagle,0.9119770961277623,1.117359314733305
Bill Weiss,0.8566966472830623,0.8702792436880546
Brad Rosado,0.8380763296896669,1.3735108732513415
Chris Mulhern,0.8676241324171633,0.8420333491610932
Chris Ray,0.9330317710247328,0.9836341412916355
Chris Thiessen,0.8682809005317254,0.9137895599537365
Colin Kennedy,1.1407035430337804,0.8504483829611886
Colin Read,0.8578421784146264,0.8759583195471085
Dan Magee,0.9570450190225861,0.925257374663189
Dan Wolfe,1.3370893897081852,1.0301468445219673
Dave Bergthold,0.9192308123747306,0.9361610549624644
Don Luong,0.8868668012834002,0.9438234230974764
Eduardo Muñoz,0.8699502099280048,0.907022093771303
Ewan Bowman,1.2696122281078155,1.0357945569031264
Federico Vitetta,1.5916757621800137,0.9617701682714801
Fred Mortagne,0.9955983076266945,0.9233553974293061
Grant Yansura,0.8632606790415415,0.8843652907625199
Greg Hunt,0.9319783114732372,1.2332032872268175
Jackson Casey,0.8693404499893437,0.9090959934075966
Jacob Nunez,0.8770683395607106,0.9193071132600037
Jamie Thomas,0.8498043948773442,1.6896781366777658
Jason Hernandez,1.080714509445018,1.0353295887032365
Jean-Jacques Briquet,0.8708057699179498,0.8872393453519785
Jeremy McNamara,0.9189019088758614,0.9554750661866934
Joe Castrucci,0.9219842877286272,0.9212727834537544
Jon Holland,1.0372333743693962,1.0698323574345083
Josh Beagle,0.8754038367808998,1.0055763808881133
Kevin Barnett,0.8568859337656642,1.1784748967796665
Matt Daughters,0.8823080365712302,0.9385518991745294
Matt Solomon,0.942543859213118,1.0155160055240011
Mike Gilbert,0.8287711759243224,1.6878071065214613
Mike Manzoori,0.9236197564453081,1.113547336531645
Nick vonWerssowetz ,0.8502173095476653,0.8252336670348421
Patrick Nagy,0.868855358138499,0.9579781349937447
Peter Sidlauskas,0.8523584689326433,0.8152457892218152
Pontus Alv,0.8654365344120928,0.8720861974270249
RB Umali,0.8747485261323515,0.9070130558099099
Rich Adler,0.8707254142982297,0.8752639281883636
Ricki Bedenbaugh,0.9042928485134355,0.8986984393969214
Roger Bagley,1.7477319485369902,0.9938777432484953
Russell Houghten,0.87450117897854,1.0664378491830944
Spike Jonze,1.5394070736536065,1.0017590789344477
Ty Evans,1.686564478894462,1.081795590965047
Yoan Taillandier,0.8622979371882339,0.8856818688441345
Yves Marchon,0.8759115362415786,0.8740580083934892
